Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription,,,
2012/1/12,73 Monthermer Road, Cathays, Cardiff, CF24 4QX,4,Shared House,,,
2012/1/13,5 Richards Street, Cathays, Cardiff, CF24 4DA,6,Shared House,,,
2012/1/16,40 Daniel Street, Cathays, Cardiff, CF24 4NY,3,Shared House,,,
2012/1/17,17 Coburn Street, Cathays, Cardiff, CF24 4BQ,5,Shared House,,,
2012/1/17,32 Coburn Street, Cathays, Cardiff, CF24 4BS,5,Shared House,,,
2012/1/17,3 May Street, Cathays, Cardiff, CF24 4EW,6,Shared House,,,
2012/1/18,21 Minny Street, Cathays, Cardiff, CF24 4ES,4,Shared House,,,
2012/1/25,165 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House,,,
2012/2/1,12 Greenwood Road, Llandaff, Cardiff, CF5 2QD,5,Shared House,,,
2012/2/3,22 Llandough Street, Cathays, Cardiff, CF24 4AW,5,Shared House,,,
2012/2/3,23 Thesiger Street, Cathays, Cardiff, CF24 4BN,4,Shared House,,,
2012/2/9,16 Cosmeston Street, Cathays, Cardiff, CF24 4LP,4,Shared House,,,
2012/2/14,4 Norman Street, Cathays, Cardiff, CF24 4NU,4,Shared House,,,
2012/2/15,16 Flora Street, Cathays, Cardiff, CF24 4EP,4,Shared House,,,
2012/2/29,36 Miskin Street, Cathays, Cardiff, CF24 4AQ,9,Shared House,,,
2012/2/29,29 Richards Street, Cathays, Cardiff, CF24 4DA,3,Shared House,,,
2012/2/29,150 Rhymney Street, Cathays, Cardiff, CF24 4DJ,5,Shared House,,,
2012/2/29,105 Cathays Terrace, Cathays, Cardiff, CF24 4HU,8,Shared House,,,
2012/2/29,8 Daniel Street, Cathays, Cardiff, CF24 4NX,5,Shared House,,,
2012/2/29,30 Malefant Street, Cathays, Cardiff, CF24 4QH,4,Shared House,,,
2012/2/29,122 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,4,Shared House,,,
2012/3/8,17 Llandough Street, Cathays, Cardiff, CF24 4AW,4,Shared House,,,
2012/3/8,72 Wyeverne Road, Cathays, Cardiff, CF24 4BJ,5,Shared House,,,
2012/3/8,98 Monthermer Road, Cathays, Cardiff, CF24 4QY,5,Shared House,,,
2012/3/15,62 Harriet Street, Cathays, Cardiff, CF24 4BW,4,Shared House,,,
2012/3/15,5 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,6,Shared House,,,
