Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription
2016/11/11,1 Daniel Street, Cathays, Cardiff, CF24 4NX,,Shared House
2016/11/14,118 Rhymney Street, Cathays, Cardiff, CF24 4DG,4,Shared House
2016/11/14,60 Mackintosh Place, Roath, Cardiff, CF24 4RQ,6,Shared House
2016/11/15,67 Cathays Terrace, Cathays, Cardiff, CF24 4HT,5,Shared House
2016/11/15,135 Cathays Terrace, Cathays, Cardiff, CF24 4HU,4,Shared House
2016/11/15,19 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,4,Shared House
2016/11/16,24 Woodville Road, Cathays, Cardiff, CF24 4EA,3,Flats Section 257
2016/11/16,83 Cathays Terrace, Cathays, Cardiff, CF24 4HT,3,Shared House
2016/11/16,85a Cathays Terrace, Cathays, Cardiff, CF24 4HT,3,Shared House
2016/11/16,78 Cathays Terrace, Cathays, Cardiff, CF24 4HY,10,Shared House
2016/11/17,62 Thesiger Street, Cathays, Cardiff, CF24 4BP,3,Shared House
2016/11/17,21 Coburn Street, Cathays, Cardiff, CF24 4BQ,6,Shared House
2016/11/17,51 Richards Street, Cathays, Cardiff, CF24 4DB,6,Shared House
2016/11/17,21 Woodville Road, Cathays, Cardiff, CF24 4DW,4,Shared House
2016/11/17,45 Dalton Street, Cathays, Cardiff, CF24 4HB,0,Shared House
2016/11/17,1 Minister Street, Cathays, Cardiff, CF24 4HR,4,Shared House
2016/11/17,99 Cathays Terrace, Cathays, Cardiff, CF24 4HT,7,Flats Section 257
2016/11/17,82 Malefant Street, Cathays, Cardiff, CF24 4QH,5,Shared House
2016/11/17,4 Dogfield Street, Cathays, Cardiff, CF24 4QJ,5,Shared House
2016/11/17,62 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,4,Shared House
2016/11/17,3 East Grove, Roath, Cardiff, CF24 3AE,5,Flats Section 257
2016/11/17,45 Talworth Street, Roath, Cardiff, CF24 3EH,4,Shared House
2016/11/17,1 Treharris Street, Roath, Cardiff, CF24 3HJ,4,Shared House
2016/11/17,16 Montgomery Street, Roath, Cardiff, CF24 3LZ,3,Shared House
2016/11/18,124 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House
2016/11/18,54 Monthermer Road, Cathays, Cardiff, CF24 4RA,5,Shared House
2016/11/21,29 Cathays Terrace, Cathays, Cardiff, CF24 4HS,6,Shared House
2016/11/21,45 Malefant Street, Cathays, Cardiff, CF24 4QD,5,Shared House
2016/11/21,20 Dogfield Street, Cathays, Cardiff, CF24 4QJ,4,Shared House
2016/11/21,111 Dogfield Street, Cathays, Cardiff, CF24 4QN,4,Shared House
2016/11/21,47 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,4,Bedsits
2016/11/21,81 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,9,Shared House
2016/11/21,40 City Road, Roath, Cardiff, CF24 3DL,5,Flats Section 257
2016/11/22,111 Mackintosh Place, Roath, Cardiff, CF24 4RN,4,Shared House
2016/11/22,54 Arabella Street, Roath, Cardiff, CF24 4TA,5,Shared House
